Date,Symbole,Titre,Cotation_Volume,Cotation_Valeur,Cours_Precedent,Cours_Ouv,Cours_Clot,Cours_Moy,Variation,Variation_Ann_Prec,Cours_Reference,Ecarts_Maximaux_Bas,Ecarts_Maximaux_Haut,Dernier_Dividende_Montant_Net,Dernier_Dividende_Date,Comp,Rdt_Net,PER
2016-08-24,SVOC,MOVIS CI,22,104 500,5 000,4 750,4 750,4 750,"-5,00%","-6,86%",4 750,4 395,5 105,"270,00",05/07/2009,2eme,"0,00%","0,00"
2016-08-24,PALC,PALM CÔTE D'IVOIRE,11 336,112 224 400,9 900,9 800,9 900,9 900,"0,00%","-17,50%",9 900,9 160,10 640,"2 412,00",29/09/2015,2eme,-,"0,00"
2016-08-24,SICC,SICOR CI,5,26 500,5 500,5 300,5 300,5 300,"-3,64%","-35,91%",5 300,4 905,5 695,"1 919,00",25/10/2000,1er,"0,00%","46,60"
2016-08-24,SOGC,SOGB CI,7,229 700,32 000,32 000,33 400,32 814,"4,38%","30,47%",33 400,30 895,35 905,"1 710,00",25/07/2016,1er,"5,12%","12,04"
2016-08-24,SPHC,SAPH CI,74,932 400,12 600,12 600,12 600,12 600,"0,00%","9,57%",12 600,11 655,13 545,"116,00",23/06/2014,1er,"0,00%","0,00"
2016-08-24,ABJC,SERVAIR ABIDJAN CI,6,900 000,145 000,150 000,150 000,150 000,"3,45%","76,47%",150 000,138 750,161 250,"50,00",24/07/2016,1er,"1,20%","51,72"
2016-08-24,BNBC,BERNABE CI,16,2 720 000,170 000,170 000,170 000,170 000,"0,00%","-5,50%",170 000,157 250,182 750,"5 500,00",08/07/2016,1er,"3,24%","24,03"
2016-08-24,CFAC,CFAO MOTORS CI,33,3 366 035,100 000,102 000,102 005,102 001,"2,01%","12,09%",102 005,94 355,109 655,"2 297,70",29/07/2016,2eme,"2,25%","39,95"
2016-08-24,PRSC,TRACTAFRIC MOTORS CI,30,14 967 000,500 000,498 900,498 900,498 900,"-0,22%","23,19%",498 900,461 485,536 315,"13 050,00",29/07/2016,1er,"2,62%","28,69"
2016-08-24,SHEC,VIVO ENERGY CI,22,3 619 130,160 010,160 010,166 500,164 506,"4,06%","140,00%",166 500,154 015,178 985,"1 665,00",27/07/2016,2eme,"1,00%","64,24"
2016-08-24,TTLC,TOTAL CI,351,6 149 350,17 100,17 450,17 980,17 520,"5,15%","-14,18%",17 980,16 635,19 325,"450,00",02/08/2016,1er,"2,50%","41,81"
2016-08-24,TTLS,TOTAL SN,65,1 582 350,24 400,24 350,24 300,24 344,"-0,41%","-7,25%",24 300,22 480,26 120,"935,00",25/07/2016,1er,"3,85%","20,03"
2016-08-24,STAC,SETAO CI,,,40 000,NC,NC,NC,,"-24,11%",40 000,37 000,43 000,,,2eme,"0,00%","15,81"
2016-08-26,CABC,SICABLE CI,5,500 000,100 000,100 000,100 000,100 000,"0,00%","-19,03%",100 000,92 500,107 500,"1 200,00",28/07/2016,1er,"1,20%","21,11"
2016-08-26,FTSC,FILTISAC CI,33,915 500,28 000,28 000,28 000,27 742,"0,00%","-6,65%",28 000,25 900,30 100,"161,27",18/08/2016,1er,"3,73%","25,13"
2016-08-26,NEIC,NEI-CEDA CI,,,3 400,NC,NC,NC,,"-19,05%",3 400,3 145,3 655,"9,00",18/08/2016,1er,"0,00%","0,00"
2016-08-26,NTLC,NESTLE CI,15,908 000,60 500,61 000,60 500,60 533,"0,00%","21,00%",60 500,55 965,65 035,"31,50",29/09/2011,2eme,"0,00%","21,30"
2016-08-26,SEMC,CROWN SIEM CI,3,156 000,51 000,52 000,52 000,52 000,"1,96%","15,57%",52 000,48 100,55 900,"1 215,00",28/08/2015,2eme,-,"41,74"
2016-08-26,SIVC,AIR LIQUIDE CI,5,89 980,18 000,17 995,18 000,17 996,"0,00%","-10,00%",18 000,16 650,19 350,"630,00",18/08/2015,1er,-,"18,70"
2016-08-26,SLBC,SOLIBRA CI,6,1 118 500,186 300,187 000,186 300,186 417,"0,00%","-1,94%",186 300,172 330,200 270,"4 101,00",30/05/2016,1er,"2,20%","13,56"
2016-08-26,SMBC,SMB CI,,,30 000,NC,NC,NC,,"57,89%",30 000,27 750,32 250,"450,00",19/07/2012,1er,"0,00%","10,56"
2016-08-26,STBC,SITAB CI,6,953 000,153 000,160 000,153 000,158 833,"0,00%","-1,92%",153 000,141 525,164 475,"8 150,00",09/07/2016,1er,"5,33%","14,94"
2016-08-26,TTRC,TRITURAF CI,,,490,NC,NC,NC,,"0,00%",490,455,525,"1 440,00",19/07/2012,2eme,-,-
2016-08-26,UNLC,UNILEVER CI,4,107 370,27 000,27 000,26 370,26 843,"-2,33%","5,48%",26 370,24 395,28 345,"1 233,00",19/08/2012,2eme,"0,00%","0,00"
2016-08-26,UNXC,UNIWAX CI,685,18 433 730,27 000,27 000,27 000,26 911,"0,00%","-5,59%",27 000,24 975,29 025,"486,00",01/06/2016,2eme,"1,80%","23,24"
2016-08-26,CIEC,CIE CI,116,8 640 200,75 000,75 000,73 550,74 484,"-1,93%","5,08%",73 550,68 035,79 065,"2 661,75",30/04/2015,1er,-,"25,05"
2016-08-26,ONTBF,ONATEL BF,2 854,37 097 205,12 960,12 995,13 000,12 998,"0,31%","-13,33%",13 000,12 025,13 975,"651,00",01/06/2016,1er,"5,01%","17,49"
2016-08-26,SDCC,SODECI,1,81 005,80 510,81 005,81 005,81 005,"0,61%","-22,11%",81 005,74 930,87 080,"3 240,00",30/05/2016,1er,"4,00%","22,15"
2016-08-26,SNTS,SONATEL SN,3 865,88 401 190,22 900,22 830,22 850,22 872,"-0,22%","-8,60%",22 850,21 140,24 560,"1 500,00",15/05/2016,1er,"6,56%","10,34"
2016-08-26,BICC,BICICI,14,1 274 110,91 000,91 000,91 010,91 008,"0,01%","-9,89%",91 010,84 185,97 835,"2 771,41",24/07/2016,1er,"4,65%","16,48"
2016-08-26,BOAB,BOA BENIN,17,3 162 000,186 310,186 000,186 000,186 000,"-0,17%","43,08%",186 000,172 050,199 950,"8 100,00",17/05/2016,1er,"4,35%","14,95"
2016-08-26,BOABF,BOA BURKINA FASO,85,11 994 320,141 040,141 110,141 115,141 110,"0,05%","17,60%",141 115,130 535,151 695,"6 930,00",04/05/2016,1er,"4,74%","12,91"
2016-08-26,BOAC,BOA CI,6,1 094 975,182 995,182 995,180 000,182 496,"-1,64%","44,00%",180 000,166 500,193 500,"5 480,00",08/05/2016,1er,"3,44%","21,84"
2016-08-26,BOAN,BOA NIGER,98,9 212 000,94 000,94 000,94 000,94 000,"0,00%","10,59%",94 000,86 950,101 050,"4 910,00",19/05/2016,1er,"5,12%","16,22"
2016-08-26,BOAS,BOA SENEGAL,6,360 000,59 000,60 000,60 000,60 000,"1,69%","-24,05%",60 000,55 500,64 500,"750,00",01/08/2016,1er,"1,25%","34,63"
2016-08-26,ETIT,ECOBANK TRANSNATIONAL INCORPORATED (ETI TG),1 761 964,45 811 064,25,26,26,26,"4,00%","-45,83%",26,25,27,"1,99",19/07/2013,1er,"0,00%","7,34"
2016-08-26,SAFC,SAFCA CI,,,30 000,NC,NC,NC,,"-9,09%",30 000,27 750,32 250,"23,04",31/07/2011,1er,"0,00%","54,89"
2016-08-26,SGBC,SGCI,22,2 970 000,135 000,135 000,135 000,135 000,"0,00%","0,75%",135 000,124 875,145 125,"5 228,00",28/06/2016,1er,"3,87%","15,54"
2016-08-26,SDSC,BOLLORE TRANSPORT & LOGISTICS CI,9,2 345 540,265 000,260 005,265 500,260 616,"0,19%","-15,85%",265 500,245 590,285 410,"9 581,00",28/06/2016,1er,"3,61%","39,44"
2016-08-26,SVOC,MOVIS CI,11,55 000,4 750,5 000,5 000,5 000,"5,26%","-1,96%",5 000,4 625,5 375,"270,00",05/07/2009,2eme,"0,00%","0,00"
2016-08-26,PALC,PALM CÔTE D'IVOIRE,146,1 459 925,9 900,10 000,10 000,9 999,"1,01%","-16,67%",10 000,9 250,10 750,"2 412,00",29/09/2015,2eme,-,"0,00"
2016-08-26,SICC,SICOR CI,1,5 300,5 300,5 300,5 300,5 300,"0,00%","-35,91%",5 300,4 905,5 695,"1 919,00",25/10/2000,1er,"0,00%","46,60"
2016-08-26,SOGC,SOGB CI,219,7 010 490,33 400,33 400,32 005,32 011,"-4,18%","25,02%",32 005,29 605,34 405,"1 710,00",25/07/2016,1er,"5,34%","11,54"
2016-08-26,SPHC,SAPH CI,5,63 000,12 600,12 600,12 600,12 600,"0,00%","9,57%",12 600,11 655,13 545,"116,00",23/06/2014,1er,"0,00%","0,00"
2016-08-26,ABJC,SERVAIR ABIDJAN CI,8,1 199 000,150 000,150 000,150 000,149 875,"0,00%","76,47%",150 000,138 750,161 250,"50,00",24/07/2016,1er,"1,20%","51,72"
2016-08-26,BNBC,BERNABE CI,9,1 518 000,170 000,170 000,170 000,168 667,"0,00%","-5,50%",170 000,157 250,182 750,"5 500,00",08/07/2016,1er,"3,24%","24,03"
2016-08-26,CFAC,CFAO MOTORS CI,,,102 000,NC,NC,NC,,"12,09%",102 000,94 350,109 650,"2 297,70",29/07/2016,2eme,"2,25%","39,95"
2016-08-26,PRSC,TRACTAFRIC MOTORS CI,,,498 900,NC,NC,NC,,"23,19%",498 900,461 485,536 315,"13 050,00",29/07/2016,1er,"2,62%","28,69"
2016-08-26,SHEC,VIVO ENERGY CI,299,47 901 135,160 000,160 005,165 000,160 204,"3,12%","137,84%",165 000,152 625,177 375,"1 665,00",27/07/2016,2eme,"1,01%","63,66"
2016-08-26,TTLC,TOTAL CI,2 963,57 315 650,19 325,19 325,19 325,19 344,"0,00%","-7,76%",19 325,17 880,20 770,"450,00",02/08/2016,1er,"2,33%","44,94"
2016-08-26,TTLS,TOTAL SN,106,2 556 300,24 300,24 000,24 300,24 116,"0,00%","-7,25%",24 300,22 480,26 120,"935,00",25/07/2016,1er,"3,85%","20,03"
2016-08-26,STAC,SETAO CI,4,160 000,40 000,40 000,40 000,40 000,"0,00%","-24,11%",40 000,37 000,43 000,,,2eme,"0,00%","15,81"
2016-08-29,CABC,SICABLE CI,23,2 185 000,100 000,95 000,95 000,95 000,"-5,00%","-23,08%",95 000,87 875,102 125,"1 200,00",28/07/2016,1er,"1,26%","20,05"
2016-08-29,FTSC,FILTISAC CI,60,1 652 450,28 000,27 990,27 500,27 541,"-1,79%","-8,32%",27 500,25 440,29 560,"161,27",18/08/2016,1er,"3,80%","24,68"
2016-08-29,NEIC,NEI-CEDA CI,,,3 400,NC,NC,NC,,"-19,05%",3 400,3 145,3 655,"9,00",18/08/2016,1er,"0,00%","0,00"
2016-08-29,NTLC,NESTLE CI,2,121 000,60 500,60 500,60 500,60 500,"0,00%","21,00%",60 500,55 965,65 035,"31,50",29/09/2011,2eme,"0,00%","21,30"
2016-08-29,SEMC,CROWN SIEM CI,1,52 000,52 000,52 000,52 000,52 000,"0,00%","15,57%",52 000,48 100,55 900,"1 215,00",28/08/2015,2eme,-,"41,74"
2016-08-29,SIVC,AIR LIQUIDE CI,10,180 000,18 000,18 000,18 000,18 000,"0,00%","-10,00%",18 000,16 650,19 350,"630,00",18/08/2015,1er,-,"18,70"
2016-08-29,SLBC,SOLIBRA CI,113,21 060 400,186 300,186 300,188 000,186 375,"0,91%","-1,05%",188 000,173 900,202 100,"4 101,00",30/05/2016,1er,"2,18%","13,68"
2016-08-29,SMBC,SMB CI,107,3 209 955,30 000,29 995,30 000,30 000,"0,00%","57,89%",30 000,27 750,32 250,"450,00",19/07/2012,1er,"0,00%","10,56"
2016-08-29,STBC,SITAB CI,7,1 078 000,153 000,154 000,154 000,154 000,"0,65%","-1,28%",154 000,142 450,165 550,"8 150,00",09/07/2016,1er,"5,29%","15,03"
2016-08-29,TTRC,TRITURAF CI,,,490,NC,NC,NC,,"0,00%",490,455,525,"1 440,00",19/07/2012,2eme,-,-
2016-08-29,UNLC,UNILEVER CI,16,416 000,26 370,26 000,26 000,26 000,"-1,40%","4,00%",26 000,24 050,27 950,"1 233,00",19/08/2012,2eme,"0,00%","0,00"
2016-08-29,UNXC,UNIWAX CI,61,1 647 800,27 000,27 000,27 000,27 013,"0,00%","-5,59%",27 000,24 975,29 025,"486,00",01/06/2016,2eme,"1,80%","23,24"
2016-08-29,CIEC,CIE CI,111,8 165 500,73 550,73 550,73 550,73 563,"0,00%","5,08%",73 550,68 035,79 065,"2 661,75",30/04/2015,1er,-,"25,05"
2016-08-29,ONTBF,ONATEL BF,1 568,20 392 885,13 000,13 000,13 100,13 006,"0,77%","-12,67%",13 100,12 120,14 080,"651,00",01/06/2016,1er,"4,97%","17,62"
2016-08-29,SDCC,SODECI,307,25 888 115,81 005,82 000,85 000,84 326,"4,93%","-18,27%",85 000,78 625,91 375,"3 240,00",30/05/2016,1er,"3,81%","23,24"
2016-08-29,SNTS,SONATEL SN,3 608,82 567 980,22 850,22 895,22 900,22 885,"0,22%","-8,40%",22 900,21 185,24 615,"1 500,00",15/05/2016,1er,"6,55%","10,36"
2016-08-29,BICC,BICICI,1,91 015,91 010,91 015,91 015,91 015,"0,01%","-9,89%",91 015,84 190,97 840,"2 771,41",24/07/2016,1er,"4,65%","16,48"
2016-08-29,BOAB,BOA BENIN,40,7 440 525,186 000,186 010,186 005,186 013,"0,00%","43,08%",186 005,172 055,199 955,"8 100,00",17/05/2016,1er,"4,35%","14,95"
2016-08-29,BOABF,BOA BURKINA FASO,46,6 545 550,141 115,142 000,142 300,142 295,"0,84%","18,58%",142 300,131 630,152 970,"6 930,00",04/05/2016,1er,"4,70%","13,01"
2016-08-29,BOAC,BOA CI,27,4 860 000,180 000,180 000,180 000,180 000,"0,00%","44,00%",180 000,166 500,193 500,"5 480,00",08/05/2016,1er,"3,44%","21,84"
2016-08-29,BOAN,BOA NIGER,58,5 448 595,94 000,93 995,94 000,93 941,"0,00%","10,59%",94 000,86 950,101 050,"4 910,00",19/05/2016,1er,"5,12%","16,22"
2016-08-29,BOAS,BOA SENEGAL,131,7 868 620,60 000,60 005,60 200,60 066,"0,33%","-23,80%",60 200,55 685,64 715,"750,00",01/08/2016,1er,"1,25%","34,75"
2016-08-29,ETIT,ECOBANK TRANSNATIONAL INCORPORATED (ETI TG),2 118 194,57 191 238,26,27,27,27,"3,85%","-43,75%",27,25,29,"1,99",19/07/2013,1er,"0,00%","7,63"
2016-08-29,SAFC,SAFCA CI,2,60 000,30 000,30 000,30 000,30 000,"0,00%","-9,09%",30 000,27 750,32 250,"23,04",31/07/2011,1er,"0,00%","54,89"
2016-08-29,SGBC,SGCI,372,50 184 940,135 000,135 000,130 020,134 906,"-3,69%","-2,97%",130 020,120 270,139 770,"5 228,00",28/06/2016,1er,"4,02%","14,97"
2016-08-29,SDSC,BOLLORE TRANSPORT & LOGISTICS CI,50,13 271 000,265 500,265 000,265 500,265 420,"0,00%","-15,85%",265 500,245 590,285 410,"9 581,00",28/06/2016,1er,"3,61%","39,44"
2016-08-29,SVOC,MOVIS CI,5,26 000,5 000,5 200,5 200,5 200,"4,00%","1,96%",5 200,4 810,5 590,"270,00",05/07/2009,2eme,"0,00%","0,00"
2016-08-29,PALC,PALM CÔTE D'IVOIRE,37,374 700,10 000,10 100,10 200,10 127,"2,00%","-15,00%",10 200,9 435,10 965,"2 412,00",29/09/2015,2eme,-,"0,00"
2016-08-29,SICC,SICOR CI,,,5 300,NC,NC,NC,,"-35,91%",5 300,4 905,5 695,"1 919,00",25/10/2000,1er,"0,00%","46,60"
2016-08-29,SOGC,SOGB CI,31,1 017 000,32 005,32 000,33 000,32 806,"3,11%","28,91%",33 000,30 525,35 475,"1 710,00",25/07/2016,1er,"5,18%","11,89"
2016-08-29,SPHC,SAPH CI,10,126 000,12 600,12 600,12 600,12 600,"0,00%","9,57%",12 600,11 655,13 545,"116,00",23/06/2014,1er,"0,00%","0,00"
2016-08-29,ABJC,SERVAIR ABIDJAN CI,70,10 150 030,150 000,145 000,145 000,145 000,"-3,33%","70,59%",145 000,134 125,155 875,"50,00",24/07/2016,1er,"1,24%","50,00"
2016-08-29,BNBC,BERNABE CI,31,5 270 000,170 000,170 000,170 000,170 000,"0,00%","-5,50%",170 000,157 250,182 750,"5 500,00",08/07/2016,1er,"3,24%","24,03"
2016-08-29,CFAC,CFAO MOTORS CI,,,102 000,NC,NC,NC,,"12,09%",102 000,94 350,109 650,"2 297,70",29/07/2016,2eme,"2,25%","39,95"
2016-08-29,PRSC,TRACTAFRIC MOTORS CI,,,498 900,NC,NC,NC,,"23,19%",498 900,461 485,536 315,"13 050,00",29/07/2016,1er,"2,62%","28,69"
2016-08-29,SHEC,VIVO ENERGY CI,26,4 160 120,165 000,160 005,160 000,160 005,"-3,03%","130,63%",160 000,148 000,172 000,"1 665,00",27/07/2016,2eme,"1,04%","61,73"
2016-08-29,TTLC,TOTAL CI,6 795,131 672 680,19 325,19 330,19 350,19 378,"0,13%","-7,64%",19 350,17 900,20 800,"450,00",02/08/2016,1er,"2,33%","45,00"
2016-08-29,TTLS,TOTAL SN,58,1 392 000,24 300,24 000,24 000,24 000,"-1,23%","-8,40%",24 000,22 200,25 800,"935,00",25/07/2016,1er,"3,90%","19,78"
2016-08-29,STAC,SETAO CI,20,799 900,40 000,39 995,39 995,39 995,"-0,01%","-24,12%",39 995,37 000,42 990,,,2eme,"0,00%","15,80"
2016-08-30,CABC,SICABLE CI,,,95 000,NC,NC,NC,,"-23,08%",95 000,87 875,102 125,"1 200,00",28/07/2016,1er,"1,26%","20,05"
2016-08-30,FTSC,FILTISAC CI,346,9 365 515,27 500,27 200,26 500,27 068,"-3,64%","-11,65%",26 500,24 515,28 485,"161,27",18/08/2016,1er,"3,94%","23,78"
2016-08-30,NEIC,NEI-CEDA CI,6,20 400,3 400,3 400,3 400,3 400,"0,00%","-19,05%",3 400,3 145,3 655,"9,00",18/08/2016,1er,"0,00%","0,00"
2016-08-30,NTLC,NESTLE CI,4,242 000,60 500,60 500,60 500,60 500,"0,00%","21,00%",60 500,55 965,65 035,"31,50",29/09/2011,2eme,"0,00%","21,30"
2016-08-30,SEMC,CROWN SIEM CI,1,52 000,52 000,52 000,52 000,52 000,"0,00%","15,57%",52 000,48 100,55 900,"1 215,00",28/08/2015,2eme,-,"41,74"
2016-08-30,SIVC,AIR LIQUIDE CI,215,3 670 550,18 000,17 000,17 050,17 072,"-5,28%","-14,75%",17 050,15 775,18 325,"630,00",18/08/2015,1er,-,"17,71"
2016-08-30,SLBC,SOLIBRA CI,105,19 739 975,188 000,188 000,188 000,188 000,"0,00%","-1,05%",188 000,173 900,202 100,"4 101,00",30/05/2016,1er,"2,18%","13,68"
2016-08-30,SMBC,SMB CI,265,7 682 995,30 000,29 995,28 000,28 992,"-6,67%","47,37%",28 000,25 900,30 100,"450,00",19/07/2012,1er,"0,00%","9,86"
2016-08-30,STBC,SITAB CI,4,616 000,154 000,154 000,154 000,154 000,"0,00%","-1,28%",154 000,142 450,165 550,"8 150,00",09/07/2016,1er,"5,29%","15,03"
2016-08-30,TTRC,TRITURAF CI,,,490,NC,NC,NC,,"0,00%",490,455,525,"1 440,00",19/07/2012,2eme,-,-
2016-08-30,UNLC,UNILEVER CI,,,26 000,NC,NC,NC,,"4,00%",26 000,24 050,27 950,"1 233,00",19/08/2012,2eme,"0,00%","0,00"
2016-08-30,UNXC,UNIWAX CI,48,1 296 000,27 000,27 000,27 000,27 000,"0,00%","-5,59%",27 000,24 975,29 025,"486,00",01/06/2016,2eme,"1,80%","23,24"
2016-08-30,CIEC,CIE CI,182,13 377 900,73 550,73 500,73 600,73 505,"0,07%","5,15%",73 600,68 080,79 120,"2 661,75",30/04/2015,1er,-,"25,07"
2016-08-30,ONTBF,ONATEL BF,2 137,28 137 880,13 100,13 025,13 100,13 167,"0,00%","-12,67%",13 100,12 120,14 080,"651,00",01/06/2016,1er,"4,97%","17,62"
2016-08-30,SDCC,SODECI,8,680 000,85 000,85 000,85 000,85 000,"0,00%","-18,27%",85 000,78 625,91 375,"3 240,00",30/05/2016,1er,"3,81%","23,24"
2016-08-30,SNTS,SONATEL SN,748,17 080 305,22 900,22 890,22 700,22 835,"-0,87%","-9,20%",22 700,21 000,24 400,"1 500,00",15/05/2016,1er,"6,61%","10,27"
2016-08-30,BICC,BICICI,10,910 300,91 015,91 030,91 030,91 030,"0,02%","-9,87%",91 030,84 205,97 855,"2 771,41",24/07/2016,1er,"4,65%","16,49"
2016-08-30,BOAB,BOA BENIN,3,558 015,186 005,186 005,186 005,186 005,"0,00%","43,08%",186 005,172 055,199 955,"8 100,00",17/05/2016,1er,"4,35%","14,95"
2016-08-30,BOABF,BOA BURKINA FASO,70,9 959 125,142 300,142 300,142 300,142 273,"0,00%","18,58%",142 300,131 630,152 970,"6 930,00",04/05/2016,1er,"4,70%","13,01"
2016-08-30,BOAC,BOA CI,93,15 809 995,180 000,170 000,170 000,170 000,"-5,56%","36,00%",170 000,157 250,182 750,"5 480,00",08/05/2016,1er,"3,65%","20,63"
2016-08-30,BOAN,BOA NIGER,15,1 421 000,94 000,94 000,95 000,94 733,"1,06%","11,76%",95 000,87 875,102 125,"4 910,00",19/05/2016,1er,"5,07%","16,39"
2016-08-30,BOAS,BOA SENEGAL,58,3 492 235,60 200,60 220,60 205,60 211,"0,01%","-23,79%",60 205,55 690,64 720,"750,00",01/08/2016,1er,"1,25%","34,75"
2016-08-30,ETIT,ECOBANK TRANSNATIONAL INCORPORATED (ETI TG),842 165,24 330 243,27,29,28,29,"3,70%","-41,67%",28,26,30,"1,99",19/07/2013,1er,"0,00%","7,91"
2016-08-30,SAFC,SAFCA CI,13,364 000,30 000,28 000,28 000,28 000,"-6,67%","-15,15%",28 000,25 900,30 100,"23,04",31/07/2011,1er,"0,00%","51,23"
2016-08-30,SGBC,SGCI,383,51 607 965,130 020,130 200,130 995,134 747,"0,75%","-2,24%",130 995,121 175,140 815,"5 228,00",28/06/2016,1er,"3,99%","15,08"
2016-08-30,SDSC,BOLLORE TRANSPORT & LOGISTICS CI,2,530 000,265 500,265 000,265 000,265 000,"-0,19%","-16,01%",265 000,245 125,284 875,"9 581,00",28/06/2016,1er,"3,62%","39,37"
2016-08-30,SVOC,MOVIS CI,80,406 200,5 200,5 200,5 200,5 078,"0,00%","1,96%",5 200,4 810,5 590,"270,00",05/07/2009,2eme,"0,00%","0,00"
2016-08-30,PALC,PALM CÔTE D'IVOIRE,158,1 611 100,10 200,10 200,10 200,10 197,"0,00%","-15,00%",10 200,9 435,10 965,"2 412,00",29/09/2015,2eme,-,"0,00"
2016-08-30,SICC,SICOR CI,,,5 300,NC,NC,NC,,"-35,91%",5 300,4 905,5 695,"1 919,00",25/10/2000,1er,"0,00%","46,60"
2016-08-30,SOGC,SOGB CI,23,764 450,33 000,33 000,33 350,33 237,"1,06%","30,27%",33 350,30 850,35 850,"1 710,00",25/07/2016,1er,"5,13%","12,02"
2016-08-30,SPHC,SAPH CI,176,2 201 600,12 600,12 600,12 600,12 509,"0,00%","9,57%",12 600,11 655,13 545,"116,00",23/06/2014,1er,"0,00%","0,00"
2016-08-30,ABJC,SERVAIR ABIDJAN CI,17,2 543 950,145 000,150 000,149 000,149 644,"2,76%","75,29%",149 000,137 825,160 175,"50,00",24/07/2016,1er,"1,21%","51,38"
2016-08-30,BNBC,BERNABE CI,86,14 076 430,170 000,169 995,164 000,163 679,"-3,53%","-8,84%",164 000,151 700,176 300,"5 500,00",08/07/2016,1er,"3,35%","23,18"
2016-08-30,CFAC,CFAO MOTORS CI,17,1 751 085,102 000,103 005,103 005,103 005,"0,99%","13,19%",103 005,95 280,110 730,"2 297,70",29/07/2016,2eme,"2,23%","40,35"
2016-08-30,PRSC,TRACTAFRIC MOTORS CI,,,498 900,NC,NC,NC,,"23,19%",498 900,461 485,536 315,"13 050,00",29/07/2016,1er,"2,62%","28,69"
2016-08-30,SHEC,VIVO ENERGY CI,30,4 836 000,160 000,160 000,162 000,161 200,"1,25%","133,51%",162 000,149 850,174 150,"1 665,00",27/07/2016,2eme,"1,03%","62,51"
2016-08-30,TTLC,TOTAL CI,159,3 078 585,19 350,19 400,19 325,19 362,"-0,13%","-7,76%",19 325,17 880,20 770,"485,00",30/08/2016,1er,"2,33%","44,94"
2016-08-30,TTLS,TOTAL SN,338,7 921 400,24 000,23 500,23 400,23 436,"-2,50%","-10,69%",23 400,21 645,25 155,"935,00",25/07/2016,1er,"4,00%","19,28"
2016-08-30,STAC,SETAO CI,,,39 995,NC,NC,NC,,"-24,12%",39 995,37 000,42 990,,,2eme,"0,00%","15,80"
2016-08-31,CABC,SICABLE CI,,,95 000,NC,NC,NC,,"-23,08%",95 000,87 875,102 125,"1 200,00",28/07/2016,1er,"1,26%","20,05"
2016-08-31,FTSC,FILTISAC CI,71,1 916 755,26 500,26 005,27 450,26 997,"3,58%","-8,48%",27 450,25 395,29 505,"161,27",18/08/2016,1er,"3,81%","24,63"
2016-08-31,NEIC,NEI-CEDA CI,0,,3 400,NC,NC,NC,,"-19,05%",3 400,3 145,3 655,"9,00",18/08/2016,1er,"0,00%","0,00"
2016-08-31,NTLC,NESTLE CI,44,2 662 000,60 500,60 500,60 500,60 500,"0,00%","21,00%",60 500,55 965,65 035,"31,50",29/09/2011,2eme,"0,00%","21,30"
2016-08-31,SEMC,CROWN SIEM CI,2,100 210,52 000,50 105,50 105,50 105,"-3,64%","11,36%",50 105,46 350,53 860,"1 215,00",28/08/2015,2eme,-,"40,22"
2016-08-31,SIVC,AIR LIQUIDE CI,,,17 050,NC,NC,NC,,"-14,75%",17 050,15 775,18 325,"630,00",18/08/2015,1er,-,"17,71"
2016-08-31,SLBC,SOLIBRA CI,7,1 316 010,188 000,188 000,188 005,188 001,"0,00%","-1,05%",188 005,173 905,202 105,"4 101,00",30/05/2016,1er,"2,18%","13,68"
2016-08-31,SMBC,SMB CI,19,522 695,28 000,27 505,27 605,27 510,"-1,41%","45,29%",27 605,25 535,29 675,"450,00",19/07/2012,1er,"0,00%","9,72"
2016-08-31,STBC,SITAB CI,15,2 310 100,154 000,154 010,154 000,154 007,"0,00%","-1,28%",154 000,142 450,165 550,"8 150,00",09/07/2016,1er,"5,29%","15,03"
2016-08-31,TTRC,TRITURAF CI,,,490,NC,NC,NC,,"0,00%",490,455,525,"1 440,00",19/07/2012,2eme,-,-
2016-08-31,UNLC,UNILEVER CI,18,468 000,26 000,26 000,26 000,26 000,"0,00%","4,00%",26 000,24 050,27 950,"1 233,00",19/08/2012,2eme,"0,00%","0,00"
2016-08-31,UNXC,UNIWAX CI,399,10 797 000,27 000,27 400,27 000,27 060,"0,00%","-5,59%",27 000,24 975,29 025,"486,00",01/06/2016,2eme,"1,80%","23,24"
2016-08-31,CIEC,CIE CI,148,10 878 670,73 600,73 605,73 400,73 505,"-0,27%","4,86%",73 400,67 895,78 905,"2 661,75",30/04/2015,1er,-,"25,00"
2016-08-31,ONTBF,ONATEL BF,606,7 918 000,13 100,13 100,13 200,13 066,"0,76%","-12,00%",13 200,12 210,14 190,"651,00",01/06/2016,1er,"4,93%","17,75"
2016-08-31,SDCC,SODECI,1,85 000,85 000,85 000,85 000,85 000,"0,00%","-18,27%",85 000,78 625,91 375,"3 240,00",30/05/2016,1er,"3,81%","23,24"
2016-08-31,SNTS,SONATEL SN,1 586,35 853 900,22 700,22 700,22 750,22 606,"0,22%","-9,00%",22 750,21 045,24 455,"1 500,00",15/05/2016,1er,"6,59%","10,29"
2016-08-31,BICC,BICICI,16,1 456 760,91 030,91 025,91 055,91 048,"0,03%","-9,85%",91 055,84 230,97 880,"2 771,41",24/07/2016,1er,"4,65%","16,49"
2016-08-31,BOAB,BOA BENIN,115,21 390 780,186 005,186 005,186 005,186 007,"0,00%","43,08%",186 005,172 055,199 955,"8 100,00",17/05/2016,1er,"4,35%","14,95"
